source_name,leaf_node_id,leaf_label,current_sub_family_node_id,current_sub_family_label,current_family_node_id,current_family_label,current_parent_node_id,current_parent_label,review_action,override_sub_family_node_id,override_sub_family_label,override_family_node_id,override_family_label,review_note
esco_1_2_1,17917,business coach,14795,Training and staff development professionals,14791,Administration professionals,14795,Training and staff development professionals,,,,,,
esco_1_2_1,15426,corporate trainer,14795,Training and staff development professionals,14791,Administration professionals,14795,Training and staff development professionals,,,,,,
esco_1_2_1,15336,administrative assistant,14917,Administrative and executive secretaries,14914,Administrative and specialised secretaries,14917,Administrative and executive secretaries,,,,,,
esco_1_2_1,17390,court reporter,14917,Administrative and executive secretaries,14914,Administrative and specialised secretaries,15336,administrative assistant,,,,,,
esco_1_2_1,17584,editorial assistant,14917,Administrative and executive secretaries,14914,Administrative and specialised secretaries,14917,Administrative and executive secretaries,,,,,,
esco_1_2_1,16343,education administrator,14917,Administrative and executive secretaries,14914,Administrative and specialised secretaries,15336,administrative assistant,,,,,,
esco_1_2_1,15805,executive assistant,14917,Administrative and executive secretaries,14914,Administrative and specialised secretaries,14917,Administrative and executive secretaries,,,,,,
esco_1_2_1,15650,fundraising assistant,14917,Administrative and executive secretaries,14914,Administrative and specialised secretaries,15336,administrative assistant,,,,,,
esco_1_2_1,18282,international student exchange coordinator,14917,Administrative and executive secretaries,14914,Administrative and specialised secretaries,15336,administrative assistant,,,,,,
esco_1_2_1,17029,management assistant,14917,Administrative and executive secretaries,14914,Administrative and specialised secretaries,14917,Administrative and executive secretaries,,,,,,
esco_1_2_1,17757,procurement support officer,14917,Administrative and executive secretaries,14914,Administrative and specialised secretaries,15336,administrative assistant,,,,,,
esco_1_2_1,16437,project support officer,14917,Administrative and executive secretaries,14914,Administrative and specialised secretaries,15336,administrative assistant,,,,,,
esco_1_2_1,16109,scopist,14917,Administrative and executive secretaries,14914,Administrative and specialised secretaries,14917,Administrative and executive secretaries,,,,,,
esco_1_2_1,17737,supply chain assistant,14917,Administrative and executive secretaries,14914,Administrative and specialised secretaries,15336,administrative assistant,,,,,,
esco_1_2_1,16364,civil registrar,14916,Legal secretaries,14914,Administrative and specialised secretaries,14916,Legal secretaries,,,,,,
esco_1_2_1,15312,legal administrative assistant,14916,Legal secretaries,14914,Administrative and specialised secretaries,14916,Legal secretaries,,,,,,
esco_1_2_1,15338,medical administrative assistant,14918,Medical secretaries,14914,Administrative and specialised secretaries,14918,Medical secretaries,,,,,,
esco_1_2_1,17025,medical practice manager,14918,Medical secretaries,14914,Administrative and specialised secretaries,14918,Medical secretaries,,,,,,
esco_1_2_1,16445,medical transcriptionist,14918,Medical secretaries,14914,Administrative and specialised secretaries,14918,Medical secretaries,,,,,,
esco_1_2_1,15900,call centre analyst,14915,Office supervisors,14914,Administrative and specialised secretaries,14915,Office supervisors,,,,,,
esco_1_2_1,16377,call centre quality auditor,14915,Office supervisors,14914,Administrative and specialised secretaries,14915,Office supervisors,,,,,,
esco_1_2_1,16604,call centre supervisor,14915,Office supervisors,14914,Administrative and specialised secretaries,14915,Office supervisors,,,,,,
esco_1_2_1,17217,contact centre supervisor,14915,Office supervisors,14914,Administrative and specialised secretaries,14915,Office supervisors,,,,,,
esco_1_2_1,17418,data entry supervisor,14915,Office supervisors,14914,Administrative and specialised secretaries,14915,Office supervisors,,,,,,
esco_1_2_1,15459,field survey manager,14915,Office supervisors,14914,Administrative and specialised secretaries,14915,Office supervisors,,,,,,
esco_1_2_1,16646,office manager,14915,Office supervisors,14914,Administrative and specialised secretaries,14915,Office supervisors,,,,,,
esco_1_2_1,15973,fruit and vegetable picker,15237,Crop farm labourers,15236,"Agricultural, forestry and fishery labourers",15237,Crop farm labourers,,,,,,
esco_1_2_1,18043,vineyard worker,15237,Crop farm labourers,15236,"Agricultural, forestry and fishery labourers",15237,Crop farm labourers,,,,,,
esco_1_2_1,15863,aquaculture cage mooring worker,15242,Fishery and aquaculture labourers,15236,"Agricultural, forestry and fishery labourers",15242,Fishery and aquaculture labourers,,,,,,
esco_1_2_1,18275,aquaculture harvesting worker,15242,Fishery and aquaculture labourers,15236,"Agricultural, forestry and fishery labourers",15242,Fishery and aquaculture labourers,,,,,,
esco_1_2_1,15692,on foot aquatic resources collector,15242,Fishery and aquaculture labourers,15236,"Agricultural, forestry and fishery labourers",15242,Fishery and aquaculture labourers,,,,,,
esco_1_2_1,17359,water-based aquaculture worker,15242,Fishery and aquaculture labourers,15236,"Agricultural, forestry and fishery labourers",15242,Fishery and aquaculture labourers,,,,,,
esco_1_2_1,16763,forest worker,15241,Forestry labourers,15236,"Agricultural, forestry and fishery labourers",15241,Forestry labourers,,,,,,
esco_1_2_1,17249,garden labourer,15240,Garden and horticultural labourers,15236,"Agricultural, forestry and fishery labourers",15240,Garden and horticultural labourers,,,,,,
esco_1_2_1,15612,horticulture worker,15240,Garden and horticultural labourers,15236,"Agricultural, forestry and fishery labourers",15240,Garden and horticultural labourers,,,,,,
esco_1_2_1,17254,catcher,15238,Livestock farm labourers,15236,"Agricultural, forestry and fishery labourers",15238,Livestock farm labourers,,,,,,
esco_1_2_1,16550,equine worker,15238,Livestock farm labourers,15236,"Agricultural, forestry and fishery labourers",15238,Livestock farm labourers,,,,,,
esco_1_2_1,17621,groom,15238,Livestock farm labourers,15236,"Agricultural, forestry and fishery labourers",15238,Livestock farm labourers,,,,,,
esco_1_2_1,16547,livestock worker,15238,Livestock farm labourers,15236,"Agricultural, forestry and fishery labourers",15238,Livestock farm labourers,,,,,,
esco_1_2_1,17744,crop production worker,15239,Mixed crop and livestock farm labourers,15236,"Agricultural, forestry and fishery labourers",15239,Mixed crop and livestock farm labourers,,,,,,
esco_1_2_1,15469,fur animals breeder,15061,Animal producers not elsewhere classified,15057,Animal producers,15061,Animal producers not elsewhere classified,,,,,,
esco_1_2_1,15311,bee breeder,15060,Apiarists and sericulturists,15057,Animal producers,15060,Apiarists and sericulturists,,,,,,
esco_1_2_1,17493,cattle breeder,15058,Livestock and dairy producers,15057,Animal producers,15058,Livestock and dairy producers,,,,,,
esco_1_2_1,16360,equine yard manager,15058,Livestock and dairy producers,15057,Animal producers,15058,Livestock and dairy producers,,,,,,
esco_1_2_1,15542,horse breeder,15058,Livestock and dairy producers,15057,Animal producers,15058,Livestock and dairy producers,,,,,,
esco_1_2_1,18089,pig breeder,15058,Livestock and dairy producers,15057,Animal producers,15058,Livestock and dairy producers,,,,,,
esco_1_2_1,17458,sheep breeder,15058,Livestock and dairy producers,15057,Animal producers,15058,Livestock and dairy producers,,,,,,
esco_1_2_1,15806,shepherd,15058,Livestock and dairy producers,15057,Animal producers,15058,Livestock and dairy producers,,,,,,
esco_1_2_1,17837,poultry breeder,15059,Poultry producers,15057,Animal producers,15059,Poultry producers,,,,,,
esco_1_2_1,16871,poultry sexer,15059,Poultry producers,15057,Animal producers,15059,Poultry producers,,,,,,
esco_1_2_1,17022,architect,14740,Building architects,14739,"Architects, planners, surveyors and designers",14740,Building architects,,,,,,
esco_1_2_1,18139,interior architect,14740,Building architects,14739,"Architects, planners, surveyors and designers",17022,architect,,,,,,
esco_1_2_1,15757,cadastral technician,14744,Cartographers and surveyors,14739,"Architects, planners, surveyors and designers",14744,Cartographers and surveyors,,,,,,
esco_1_2_1,17405,cartographer,14744,Cartographers and surveyors,14739,"Architects, planners, surveyors and designers",14744,Cartographers and surveyors,,,,,,
esco_1_2_1,17201,geographic information systems specialist,14744,Cartographers and surveyors,14739,"Architects, planners, surveyors and designers",14744,Cartographers and surveyors,,,,,,
esco_1_2_1,16119,hydrographic surveyor,14744,Cartographers and surveyors,14739,"Architects, planners, surveyors and designers",17910,land surveyor,,,,,,
esco_1_2_1,17910,land surveyor,14744,Cartographers and surveyors,14739,"Architects, planners, surveyors and designers",14744,Cartographers and surveyors,,,,,,
esco_1_2_1,15290,mine surveyor,14744,Cartographers and surveyors,14739,"Architects, planners, surveyors and designers",17910,land surveyor,,,,,,
esco_1_2_1,16311,3D animator,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",16174,animator,,,,,,
esco_1_2_1,17560,3D modeller,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,17108,animation layout artist,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,16174,animator,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,16777,desktop publisher,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,17881,digital artist,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,17887,digital games designer,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,17879,digital media designer,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,15501,gambling games designer,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,16590,graphic designer,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,15628,illustrator,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,15370,performance lighting designer,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,17755,performance video designer,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,17451,special effects artist,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,15968,stop-motion animator,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,,,,,,
esco_1_2_1,15902,web designer,14745,Graphic and multimedia designers,14739,"Architects, planners, surveyors and designers",14745,Graphic and multimedia designers,move to sub_family_node_id:14805,14805,Web and multimedia developers,14802,Software and applications developers and analysts,Web design belongs in the software/web development branch rather than graphic design.
esco_1_2_1,16299,landscape architect,14741,Landscape architects,14739,"Architects, planners, surveyors and designers",14741,Landscape architects,,,,,,
esco_1_2_1,17288,landscape designer,14741,Landscape architects,14739,"Architects, planners, surveyors and designers",16299,landscape architect,,,,,,
esco_1_2_1,15654,automotive designer,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",17380,industrial designer,,,,,,
esco_1_2_1,17832,clothing fashion designer,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",16773,fashion designer,,,,,,
esco_1_2_1,17833,costume designer,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",17380,industrial designer,,,,,,
esco_1_2_1,16773,fashion designer,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",17380,industrial designer,,,,,,
esco_1_2_1,15373,footwear designer,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",16773,fashion designer,,,,,,
esco_1_2_1,17576,furniture designer,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",17380,industrial designer,,,,,,
esco_1_2_1,17380,industrial designer,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",14742,Product and garment designers,,,,,,
esco_1_2_1,15942,jewellery designer,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",17380,industrial designer,,,,,,
esco_1_2_1,17251,leather goods designer,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",16773,fashion designer,,,,,,
esco_1_2_1,17876,leather goods product developer,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",14742,Product and garment designers,,,,,,
esco_1_2_1,16042,model maker,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",17380,industrial designer,,,,,,
esco_1_2_1,15383,puppet designer,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",17380,industrial designer,,,,,,
esco_1_2_1,16631,textile colourist,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",14742,Product and garment designers,,,,,,
esco_1_2_1,15477,textile designer,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",17380,industrial designer,,,,,,
esco_1_2_1,16576,textile product developer,14742,Product and garment designers,14739,"Architects, planners, surveyors and designers",14742,Product and garment designers,,,,,,
esco_1_2_1,16126,land planner,14743,Town and traffic planners,14739,"Architects, planners, surveyors and designers",14743,Town and traffic planners,,,,,,
esco_1_2_1,16024,mobility services manager,14743,Town and traffic planners,14739,"Architects, planners, surveyors and designers",14743,Town and traffic planners,,,,,,
esco_1_2_1,17037,smart city consultant,14743,Town and traffic planners,14739,"Architects, planners, surveyors and designers",17997,urban planner,,,,,,
esco_1_2_1,17096,transport planner,14743,Town and traffic planners,14739,"Architects, planners, surveyors and designers",14743,Town and traffic planners,,,,,,
esco_1_2_1,17997,urban planner,14743,Town and traffic planners,14739,"Architects, planners, surveyors and designers",14743,Town and traffic planners,,,,,,
esco_1_2_1,17748,air force pilot,14666,"Armed forces occupations, other ranks",14665,"Armed forces occupations, other ranks",14666,"Armed forces occupations, other ranks",,,,,,
esco_1_2_1,18299,bomb disposal technician,14666,"Armed forces occupations, other ranks",14665,"Armed forces occupations, other ranks",14666,"Armed forces occupations, other ranks",,,,,,
esco_1_2_1,17600,infantry soldier,14666,"Armed forces occupations, other ranks",14665,"Armed forces occupations, other ranks",14666,"Armed forces occupations, other ranks",,,,,,
esco_1_2_1,15960,intelligence communications interceptor,14666,"Armed forces occupations, other ranks",14665,"Armed forces occupations, other ranks",14666,"Armed forces occupations, other ranks",,,,,,
esco_1_2_1,16337,military engineer,14666,"Armed forces occupations, other ranks",14665,"Armed forces occupations, other ranks",14666,"Armed forces occupations, other ranks",,,,,,
esco_1_2_1,15483,chef,14939,Chefs,14935,"Artistic, cultural and culinary associate professionals",14939,Chefs,,,,,,
esco_1_2_1,15296,head chef,14939,Chefs,14935,"Artistic, cultural and culinary associate professionals",15483,chef,,,,,,
esco_1_2_1,17444,head pastry chef,14939,Chefs,14935,"Artistic, cultural and culinary associate professionals",17052,pastry chef,,,,,,
esco_1_2_1,17052,pastry chef,14939,Chefs,14935,"Artistic, cultural and culinary associate professionals",15483,chef,,,,,,
esco_1_2_1,17268,private chef,14939,Chefs,14935,"Artistic, cultural and culinary associate professionals",15483,chef,,,,,,
esco_1_2_1,16479,art handler,14938,"Gallery, museum and library technicians",14935,"Artistic, cultural and culinary associate professionals",14938,"Gallery, museum and library technicians",,,,,,
esco_1_2_1,16250,big data archive librarian,14938,"Gallery, museum and library technicians",14935,"Artistic, cultural and culinary associate professionals",14938,"Gallery, museum and library technicians",,,,,,
esco_1_2_1,17334,taxidermist,14938,"Gallery, museum and library technicians",14935,"Artistic, cultural and culinary associate professionals",14938,"Gallery, museum and library technicians",,,,,,
esco_1_2_1,16723,interior designer,14937,Interior designers and decorators,14935,"Artistic, cultural and culinary associate professionals",14937,Interior designers and decorators,,,,,,
esco_1_2_1,16764,interior planner,14937,Interior designers and decorators,14935,"Artistic, cultural and culinary associate professionals",16723,interior designer,,,,,,
esco_1_2_1,18158,merchandiser,14937,Interior designers and decorators,14935,"Artistic, cultural and culinary associate professionals",14937,Interior designers and decorators,,,,,,
esco_1_2_1,16972,miniature set designer,14937,Interior designers and decorators,14935,"Artistic, cultural and culinary associate professionals",14937,Interior designers and decorators,,,,,,
esco_1_2_1,16259,scenic painter,14937,Interior designers and decorators,14935,"Artistic, cultural and culinary associate professionals",15943,set builder,,,,,,
esco_1_2_1,15943,set builder,14937,Interior designers and decorators,14935,"Artistic, cultural and culinary associate professionals",14937,Interior designers and decorators,,,,,,
esco_1_2_1,16956,set designer,14937,Interior designers and decorators,14935,"Artistic, cultural and culinary associate professionals",14937,Interior designers and decorators,,,,,,
esco_1_2_1,15961,visual merchandiser,14937,Interior designers and decorators,14935,"Artistic, cultural and culinary associate professionals",14937,Interior designers and decorators,,,,,,
esco_1_2_1,17992,assistant stage director,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",14940,Other artistic and cultural associate professionals,,,,,,
esco_1_2_1,16679,assistant video and motion picture director,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",14940,Other artistic and cultural associate professionals,,,,,,
esco_1_2_1,15847,audio production technician,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",14940,Other artistic and cultural associate professionals,,,,,,
esco_1_2_1,15392,automated fly bar operator,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",14940,Other artistic and cultural associate professionals,,,,,,
esco_1_2_1,16092,body artist,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",14940,Other artistic and cultural associate professionals,,,,,,
esco_1_2_1,16855,broadcasting programme director,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",14940,Other artistic and cultural associate professionals,,,,,,
esco_1_2_1,15895,costume attendant,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",15810,dresser,,,,,,
esco_1_2_1,15810,dresser,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",14940,Other artistic and cultural associate professionals,,,,,,
esco_1_2_1,18034,extra,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",14940,Other artistic and cultural associate professionals,,,,,,
esco_1_2_1,17889,fight director,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",14940,Other artistic and cultural associate professionals,,,,,,
esco_1_2_1,17894,followspot operator,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",18148,theatre technician,,,,,,
esco_1_2_1,16832,head of workshop,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",14940,Other artistic and cultural associate professionals,,,,,,
esco_1_2_1,15471,intelligent lighting engineer,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",17197,performance lighting technician,,,,,,
esco_1_2_1,16963,light board operator,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",18148,theatre technician,,,,,,
esco_1_2_1,16985,location manager,14940,Other artistic and cultural associate professionals,14935,"Artistic, cultural and culinary associate professionals",14940,Other artistic and cultural associate professionals,,,,,,
