family_node_id	family_label	role_heads	authority_levels	venue	channel	product	population	task	industry	knowledge_domain	work_object	residual_policy
15180	Rubber Plastic And Paper Products Machine Operators	assembler|builder|coverer|cutter|finisher|laminator|maker|mixer|operator|tender|vulcaniser|winder	none	factory				coagulation_task|compression_task|cutting|dipping_task|filament_task|forming_task|injection_task|insulating_task|machine_task|mould_task|moulding|perforating_task|pultrusion_task|rewinding_task|rolling_task|treatment|winding_task	optical_industry|plastic_industry|sectional_industry		absorbent_pad_work_object|belt_mould_work_object|belt_work_object|blow_work_object|cake_work_object|corrugator_work_object|disc_work_object|envelope_work_object|equipment_work_object|fibreglass_work_object|foam_rubber_work_object|furniture_work_object|heat_work_object|machine_work_object|paper_bag_work_object|paper_stationery_work_object|paper_work_object|paperboard_product_work_object|press_work_object|record_work_object|rubber_good_work_object|rubber_product_work_object|rubber_work_object|tissue_paper_work_object|tyre_work_object|v_belt_work_object|vacuum_work_object	specific
15184	Textile Fur And Leather Products Machine Operators	assembler|dyer|ironer|machinist|manufacturer|operator|spinner|supervisor|technician|worker	none	factory|laundry		made_up_product		alteration_task|apparel_task|braiding_task|clothing_task|cutting|dyeing_task|finishing|knitting_task|lasting_task|machine_task|maintenance|making_task|measuring_task|pre_lasting_task|pre_stitching_task|process|production|sample_task|sampling|spinning_task|stitching_task|tufting_task|twisting_task|weaving_task|winding_task	protective_industry		automated_work_object|canva_good_work_object|colour_work_object|cotton_gin_work_object|embroidery_work_object|footwear_work_object|fur_work_object|heel_work_object|leather_good_work_object|leather_work_object|machine_work_object|mattress_work_object|nonwoven_staple_work_object|nonwoven_textile_work_object|pre_work_object|sewing_machine|sole_work_object|textile_pattern_work_object|textile_work_object	specific
15193	Food And Related Products Machine Operators	attendant|blender|canner|clarifier|cleaner|distiller|extractor|fermenter|filler|grinder|manufacturer|miller|mixer|operator|roaster|technician|tender|tester|worker	none	cellar|house|mill|plant			animal	baking_task|blanching_task|blending_task|canning|carbonation_task|chilling_task|converting_task|extraction_task|fat_purification_task|fat_task|fermentation_task|filtration_task|germination_task|grinding_task|hydrogenation_task|machine_task|making_task|manufacturing|moulding|process|processing|production|refining_task|treatment	coffee_industry|dairy		beverage_work_object|brew_work_object|bulk_work_object|cacao_bean_work_object|candy_work_object|centrifuge_work_object|chocolate_work_object|cider_work_object|cigarette_work_object|cocoa_work_object|distillery_work_object|dryer_work_object|extract_work_object|feed_work_object|fish_work_object|flour_purifier_work_object|food_work_object|fruit_work_object|kettle_work_object|liquor_work_object|machine_work_object|malt_kiln_work_object|milk_heat_work_object|pasta_work_object|prepared_meat_work_object|press_work_object|sauce_work_object|starch_work_object|sugar_refinery_work_object|wine_work_object	specific
15195	Wood Processing And Papermaking Plant Operators	bleacher|chipper|operator|pelletiser|planer|technician	none	mill|plant				deinking_task|flotation_task|laminating_task|moulding|process			band_saw_work_object|crosscut_saw_work_object|debarker_work_object|digester_work_object|engineered_wood_board_work_object|froth_work_object|machine_work_object|paper_pulp_work_object|paper_work_object|pulp_work_object|router_work_object|sawmill_work_object|table_saw_work_object|veneer_slicer_work_object|wash_work_object|wood_work_object	specific
15198	Other Stationary Plant And Machine Operators	annealer|brander|burner|caster|filler|firer|operator|polisher|tender	none	factory|plant|room				bottling_task|canning|drawing_task|filling_task|finishing|forming_task|machine_task|packaging_task|packing_task|sealing_task			auger_work_object|boiler_work_object|brick_work_object|clay_product_dry_kiln_work_object|cylinder_work_object|dry_work_object|edge_bander_work_object|fibre_machine_work_object|footwear_work_object|glass_work_object|heat_work_object|kiln_work_object|leather_good_work_object|line_work_object|machine_work_object|press_work_object|slitter_work_object|steam_work_object|tile_work_object|tunnel_kiln_work_object	residual_when_no_specific_family
15204	Assemblers	assembler|maker|operator|processor	none	factory|railway|workshop_venue				assembly|control|installation|instrument_task|soldering_task	aviation|dental_industry|electrical|electromechanical_industry|electronic|industrial|mechatronics|medical|metal_industry|photographic_industry|plastic_industry|road|transport	electronics|musical|technology	aircraft_work_object|ammunition_work_object|battery_work_object|bicycle_work_object|board_work_object|body_work_object|cable_work_object|circuit_work_object|device_work_object|engine_work_object|equipment_work_object|firework_work_object|furniture_work_object|instrument_work_object|jewellery_work_object|machine_work_object|machinery_work_object|motor_vehicle_part_work_object|motor_vehicle_work_object|motorcycle_work_object|panel_work_object|printed_work_object|rubber_good_work_object|surface_mount_work_object|vessel_work_object|wave_work_object|wire_harness_work_object|wood_product_work_object	specific
15209	Locomotive Engine Drivers And Related Workers	dispatcher|driver|preparer|shunter|signalperson|switchperson	none	railway|yard			passengers	crossing_task|level_task	transport		train_work_object	specific
15212	Car Van And Motorcycle Drivers	chauffeur|courier|driver|person|valet	none		distribution		customer|passenger|patient	delivery|parking_task|services|van_task	automotive|private|road|transport		armoured_car_work_object|hearse_work_object|taxi_work_object	specific
15215	Heavy Truck And Bus Drivers	chauffeur|driver|operator|transporter	none				animal|animals|passengers	dangerou_good_task|moving_task|service	live_industry|road|transport		aircraft_work_object|cargo_vehicle_work_object|concrete_work_object|fire_work_object|fuel_work_object|pump_work_object|refuse_vehicle_work_object|system_work_object|tow_truck_work_object|tram_work_object|trolley_bus_work_object|truck_work_object|vehicle_work_object	specific
15218	Mobile Plant Operators	controller|grader|operator|supervisor|worker	none|supervisor	mine|plant|site|warehouse				driving|production|snow_clearing_task|snow_task	construction|forestry|mining|mobile|road|transport		automated_cable_vehicle_work_object|bulldozer_work_object|container_work_object|crane_work_object|dredge_work_object|equipment_work_object|excavator_work_object|forklift_work_object|hammer_work_object|land_based_work_object|land_work_object|machinery_work_object|pile_work_object|roller_work_object|scraper_work_object|surface_work_object|tower_crane_work_object	specific
