source_name,sub_family_node_id,sub_family_label,current_family_node_id,current_family_label,leaf_count,example_leaf_labels,review_action,override_family_node_id,override_family_label,review_note
esco_1_2_1,15113,"Metal polishers, wheel grinders and tool sharpeners",15109,"Blacksmiths, toolmakers and related trades workers",2,tool grinder|metal polisher,,,,
esco_1_2_1,15112,Metal working machine tool setters and operators,15109,"Blacksmiths, toolmakers and related trades workers",34,gear machinist|boring machine operator|briquetting machine operator|plasma cutting machine operator|engraving machine operator|spark erosion machine operator|grinding machine operator|water jet cutter operator,,,,
esco_1_2_1,15111,Toolmakers and related workers,15109,"Blacksmiths, toolmakers and related trades workers",5,gunsmith|casting mould maker|locksmith|precision mechanic|tool and die maker,,,,
esco_1_2_1,15009,Building caretakers,15006,Building and housekeeping supervisors,3,building caretaker|verger|house sitter,,,,
esco_1_2_1,15007,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",15006,Building and housekeeping supervisors,2,hotel butler|housekeeping supervisor,,,,
esco_1_2_1,15008,Domestic housekeepers,15006,Building and housekeeping supervisors,3,bed and breakfast operator|domestic housekeeper|domestic butler,,,,
esco_1_2_1,15097,Air conditioning and refrigeration mechanics,15090,Building finishers and related trades workers,1,heating and ventilation service installer,,,,
esco_1_2_1,15092,Floor layers and tile setters,15090,Building finishers and related trades workers,4,tile fitter|resilient floor layer|hardwood floor layer|carpet fitter,,,,
esco_1_2_1,15095,Glaziers,15090,Building finishers and related trades workers,2,vehicle glazier|plate glass installer,,,,
esco_1_2_1,15094,Insulation workers,15090,Building finishers and related trades workers,1,insulation worker,,,,
esco_1_2_1,15093,Plasterers,15090,Building finishers and related trades workers,2,ceiling installer|plasterer,,,,
esco_1_2_1,15096,Plumbers and pipe fitters,15090,Building finishers and related trades workers,14,sprinkler fitter|water network operative|water conservation technician|bathroom fitter|drain technician|irrigation technician|sewerage network operative|heating technician,,,,
esco_1_2_1,15091,Roofers,15090,Building finishers and related trades workers,1,roofer,,,,
esco_1_2_1,15085,Bricklayers and related workers,15083,Building frame and related trades workers,1,bricklayer,,,,
esco_1_2_1,15089,Building frame and related trades workers not elsewhere classified,15083,Building frame and related trades workers,5,construction scaffolder|tent installer|manufactured wooden building assembler|steeplejack|demolition worker,,,,
esco_1_2_1,15088,Carpenters and joiners,15083,Building frame and related trades workers,7,door installer|staircase installer|carpenter|frame maker|window installer|kitchen unit installer|fireplace installer,,,,
esco_1_2_1,15087,"Concrete placers, concrete finishers and related workers",15083,Building frame and related trades workers,2,terrazzo setter|concrete finisher,,,,
esco_1_2_1,15084,House builders,15083,Building frame and related trades workers,1,house builder,,,,
esco_1_2_1,15086,"Stonemasons, stone cutters, splitters and carvers",15083,Building frame and related trades workers,2,stone engraver|stonemason,,,,
esco_1_2_1,14913,Business services agents not elsewhere classified,14908,Business services agents,8,publishing rights manager|relocation officer|promoter|tourism contract negotiator|intellectual property consultant|talent agent|auctioneer|advertising sales agent,,,,
esco_1_2_1,14909,Clearing and forwarding agents,14908,Business services agents,40,"import export specialist in wood and construction materials|import export specialist in agricultural raw materials, seeds and animal feeds|import export specialist in meat and meat products|forwarding manager|import export specialist in fruit and vegetables|import export specialist in hardware, plumbing and heating equipment|import export specialist in beverages|import export specialist in flowers and plants",,,,
esco_1_2_1,14910,Conference and event planners,14908,Business services agents,5,event manager|venue programmer|wedding planner|event assistant|venue director,,,,
esco_1_2_1,14911,Employment agents and contractors,14908,Business services agents,1,employment agent,,,,
esco_1_2_1,14912,Real estate agents and property managers,14908,Business services agents,8,real estate manager|real estate investor|real estate agent|title closer|property acquisitions manager|real estate leasing manager|letting agent|housing manager,,,,
